taxonID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,phylum,family,genus,subgenus,specificEpithet,taxonRank,scientificName,scientificNameAuthorship,TW:TaxonDetermination:Tag:OTUage,tag:OTUlocality
139a,139a,12,139a,Bryozoa,,Streblotrypa,,,genus,Streblotrypa,,,
139b,139b,139a,139b,Bryozoa,,Streblotrypa,Streblotrypa,,subgenus,Streblotrypa,,,
140,140,139b,140,Bryozoa,,Streblotrypa,Streblotrypa,binodata,species,Streblotrypa (Streblotrypa) binodata Ernst Weidlich & Schäfer 2008,"Ernst, Weidlich & Schäfer 2008",Permian Cisuralian-Guadalupian,Oman
141,141,139b,141,Bryozoa,,Streblotrypa,Streblotrypa,peculiaris,species,Streblotrypa (Streblotrypa) peculiaris Ernst & Winkler Prins 2008,Ernst & Winkler Prins 2008,Carboniferous Pennsylvanian Kasimovian,Spain
142,142,12,142,Bryozoa,,Streblotrypella,,,genus,Streblotrypella,,,
143,143,142,143,Bryozoa,,Streblotrypella,,eifelensis,species,Streblotrypella eifelensis Ernst 2008,Ernst 2008,Middle Devonian,Germany
143a,143a,12,143a,Bryozoa,,Sulcoretepora,,,genus,Sulcoretepora,,,
144,144,143a,144,Bryozoa,,Sulcoretepora,,orientalis,species,Sulcoretepora orientalis Ernst Weidlich & Schäfer 2008,"Ernst, Weidlich & Schäfer 2008",Permian Cisuralian-Guadalupian,Oman
145,145,143a,145,Bryozoa,,Sulcoretepora,,tenuis,species,Sulcoretepora tenuis Ernst 2008,Ernst 2008,Middle Devonian,Germany
146,146,12,146,Bryozoa,,Therenia,,,genus,Therenia,,,
147,147,146,147,Bryozoa,,Therenia,,cryptooecium,species,Therenia cryptooecium Berning Tilbrook & Rosso 2008,"Berning, Tilbrook & Rosso 2008",Recent,East Atlantic Ghana
148,148,146,148,Bryozoa,,Therenia,,peristomata,species,Therenia peristomata Berning Tilbrook & Rosso 2008,"Berning, Tilbrook & Rosso 2008",Recent,Atlantic Madeira
149,149,146,149,Bryozoa,,Therenia,,rosei,species,Therenia rosei Berning Tilbrook & Rosso 2008,"Berning, Tilbrook & Rosso 2008",Recent,Mediterranean
150,150,146,150,Bryozoa,,Therenia,,transylvanica,species,Threnia transylvanica Zágoršek Filipescu Holcová 2010,"Zágoršek, Filipescu, Holcová 2010",Neogene Miocene,Rumania
150a,150a,12,150a,Bryozoa,,Trematooecia,,,genus,Trematooecia,,,
151,151,150a,151,Bryozoa,,Trematooecia,,ligulata,species,Trematooecia ligulata Ayari & Taylor 2008,Ayari & Taylor 2008,Recent,Mediterranean
152,152,12,152,Bryozoa,,Uharella,,,genus,Uharella Taylor Casadío & Gordon 2008,"Taylor, Casadío & Gordon 2008",,
153,153,152,153,Bryozoa,,Uharella,,seymourensis,species,Uharella seymourensis Taylor Casadío & Gordon 2008,"Taylor, Casadío & Gordon 2008",Paleogene Eocene,Antarctic
154,154,12,154,Bryozoa,,Ulrichotrypella,,,genus,Ulrichotrypella,,,
155,155,154,155,Bryozoa,,Ulrichotrypella,,omanica,species,Ulrichotrypella omanica Ernst Weidlich & Schäfer 2008,"Ernst, Weidlich & Schäfer 2008",Permian Cisuralian-Guadalupian,Oman
156,156,12,156,Bryozoa,,Wjatkella,,,genus,Wjatkella,,,
157,157,156,157,Bryozoa,,Wjatkella,,definita,species,Wjatkella definita Gorjunova & Sedaeva 2008,Gorjunova & Sedaeva 2008,Permian Guadalupian,Russia Russian Platform
158,158,12,158,Bryozoa,,Zimmerella,,,genus,Zimmerella Taylor 2008,Taylor 2008,,
159,159,12,159,Bryozoa,,Wilbertopora,,,genus,Wilbertopora,,,
160,160,159,160,Bryozoa,,Wilbertopora,,sannerae,species,Wilbertopora sannerae Taylor 2008,Taylor 2008,Late Cretaceous Campanian,USA California
161,161,12,161,Bryozoa,,Onychocella,,,genus,Onychocella,,,
162,162,161,162,Bryozoa,,Onychocella,,schopforum,species,Onychocella schopforum Taylor 2008,Taylor 2008,Late Cretaceous Campanian-Maastrichtian,USA California
163,163,12,163,Bryozoa,,Trichinopolia,,,genus,Trichinopolia,,,
164,164,163,164,Bryozoa,,Trichinopolia,,lata,species,Trichinopolia lata Taylor 2008,Taylor 2008,Late Cretaceous Campanian-Maastrichtian,USA California
165,165,163,165,Bryozoa,,Trichinopolia,,californica,species,Trichinopolia californica Taylor 2008,Taylor 2008,Late Cretaceous Campanian,USA California
